Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0.0074,0.001,0.0028,0,0,0,0.0031,0.003,0.0015,0.004,0.003,0.0043,0.0015,0,0.0029,0.0018,0,0,0.0026,0.0023,0.0038,0.0038,0.0037,0.0069,0.0009,0.0033,0.0012,0.0013,0.005,0.0027,0,0.0004,0.0061,0.0027,0.0013,0.0014,0.0007,0.0006,0.0028,0.0009,0.0016,0.0019,0.0007,0.0015,0.0009,0.0029,0.0021,0.0024
8,0,0,0,0,0.001,0,0,0.0008,0.0026,0.0012,0,0,0.0002,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0.0025,0,0,0,0,0,0,0.0014,0,0.0034,0,0.003,0.0041,0.0178,0.0098,0.0135,0.0077,0.0027,0.0057,0.0092,0.0103,0.0124,0.0126,0.0141,0.014,0.0041,0.0068,0.0102,0.0097,0.0026,0.003,0.0122,0.0108,0.0166,0.014,0.0119,0.0186,0.0106,0.0153,0.0102,0.0119,0.0175,0.0123,0.01,0.0086,0.0158,0.0106,0.0109,0.0061,0.0092,0.0062,0.0123,0.0078,0.0168,0.007,0.0092,0.0096,0.0097,0.0107,0.0112,0.0156
12,0,0.0053,0.0019,0,0.0075,0.0018,0.0051,0.0102,0.012,0.0081,0,0,0.0044,0.0073,0.0082,0,0.0016,0.0011,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0.0073,0.0098,0.0066,0.0097,0.0008,0,0,0,0.0045,0.0018,0.0073,0.0022,0.0135,0.0027,0.0137,0.0181,0.0356,0.0305,0.0302,0.0232,0.0187,0.0186,0.0297,0.0301,0.0332,0.0326,0.0321,0.0292,0.018,0.0178,0.0294,0.0241,0.0085,0.0129,0.0265,0.0265,0.0338,0.028,0.0277,0.0415,0.026,0.0334,0.0252,0.0264,0.038,0.0259,0.0315,0.0264,0.0368,0.026,0.0252,0.0239,0.0252,0.0197,0.0317,0.023,0.0352,0.0205,0.0275,0.026,0.025,0.0292,0.0269,0.0393
16,0,0.0113,0.0066,0,0.0181,0.0121,0.0163,0.0338,0.0251,0.0156,0,0,0.0102,0.0252,0.018,0.0103,0.0228,0.0237,0,0,0,0,0,0,0,0,0.0115,0,0.0063,0.0014,0,0,0,0,0,0.0034,0,0,0.0191,0.0212,0.02,0.0217,0.0076,0.0085,0,0.0016,0.0126,0.0092,0.02,0.0135,0.0279,0.0109,0.0264,0.0315,0.0633,0.0583,0.0619,0.0499,0.0463,0.039,0.0604,0.0629,0.0645,0.0611,0.0581,0.0571,0.0358,0.0401,0.0573,0.0513,0.0184,0.0264,0.0501,0.0541,0.0634,0.057,0.0489,0.0823,0.0558,0.0672,0.0506,0.0576,0.0655,0.0535,0.06,0.0544,0.0583,0.0477,0.0482,0.0419,0.0437,0.0354,0.0664,0.0482,0.0712,0.0418,0.0546,0.0509,0.0522,0.0543,0.0497,0.0717
20,0,0.0202,0.012,0,0.0307,0.0229,0.0514,0.0692,0.064,0.0242,0,0.0007,0.0169,0.0407,0.0305,0.0372,0.0503,0.0743,0,0,0,0,0,0,0,0,0.0248,0.0024,0.0191,0.0092,0.0057,0.0064,0,0.0006,0,0.01,0,0,0.0297,0.0335,0.0342,0.0336,0.0144,0.0229,0,0.01,0.0209,0.0187,0.0339,0.0268,0.0445,0.0226,0.0437,0.0591,0.1098,0.0985,0.1046,0.0912,0.0819,0.0736,0.1041,0.1074,0.1135,0.0979,0.0989,0.0914,0.0648,0.0778,0.095,0.0891,0.0346,0.0526,0.0821,0.0881,0.1044,0.0916,0.09,0.1349,0.0926,0.1088,0.0847,0.0969,0.1083,0.0911,0.1151,0.0925,0.0943,0.0766,0.0772,0.0711,0.074,0.0645,0.1044,0.0768,0.1205,0.0775,0.0892,0.0853,0.0862,0.0931,0.0868,0.121
24,0,0.0348,0.0254,0,0.0524,0.0401,0.1144,0.144,0.1279,0.041,0.0103,0.0365,0.0307,0.0727,0.0508,0.1127,0.1077,0.1155,0,0,0.0063,0,0,0.0129,0,0,0.0435,0.0109,0.0424,0.0198,0.0135,0.0217,0,0.0096,0,0.0208,0,0,0.0483,0.0543,0.065,0.0547,0.0236,0.0408,0,0.0253,0.0392,0.0311,0.0539,0.0445,0.0714,0.0387,0.0701,0.09,0.1614,0.1576,0.1599,0.1472,0.1383,0.1312,0.1689,0.1723,0.1895,0.1492,0.1504,0.138,0.104,0.1217,0.1519,0.1424,0.0571,0.0793,0.1291,0.1399,0.1546,0.1485,0.1358,0.2192,0.145,0.1755,0.147,0.1514,0.1702,0.1403,0.1742,0.1441,0.1487,0.1152,0.1187,0.1097,0.117,0.1034,0.1689,0.1224,0.1857,0.1201,0.137,0.1373,0.1389,0.1439,0.1351,0.1953
28,0,0.0663,0.053,0.0521,0.0969,0.0734,0.2015,0.2706,0.2609,0.0763,0.0786,0.0995,0.0629,0.1322,0.092,0.2113,0.1994,0.2114,0.0272,0.0318,0.0471,0.0184,0.0242,0.0927,0.0194,0.0381,0.0859,0.0403,0.0905,0.0463,0.0393,0.051,0.016,0.0339,0,0.0469,0,0.0105,0.0869,0.0949,0.1184,0.0945,0.0457,0.0732,0.0081,0.0568,0.0773,0.0584,0.0891,0.0774,0.1212,0.0766,0.1216,0.1494,0.2466,0.2374,0.2369,0.2353,0.2083,0.2039,0.2707,0.281,0.2865,0.2389,0.2414,0.2107,0.1704,0.1987,0.2439,0.2314,0.1011,0.1301,0.2053,0.2204,0.2432,0.2279,0.2145,0.3204,0.2235,0.276,0.2134,0.2374,0.2643,0.217,0.2747,0.2238,0.2191,0.1818,0.1808,0.1751,0.1873,0.1659,0.2691,0.1922,0.29,0.1789,0.2135,0.2177,0.2152,0.2303,0.197,0.2929
32,0.0076,0.1322,0.1073,0.1455,0.1836,0.1402,0.3794,0.4409,0.372,0.1377,0.1792,0.1957,0.1087,0.2407,0.1647,0.3341,0.337,0.3522,0.1184,0.1417,0.1456,0.1151,0.1173,0.2155,0.1176,0.1428,0.1673,0.0896,0.1665,0.1009,0.0908,0.1172,0.058,0.0911,0.0088,0.0938,0,0.0467,0.1603,0.1582,0.2042,0.1566,0.0853,0.1363,0.0401,0.1186,0.1492,0.1096,0.1539,0.1392,0.2081,0.1416,0.2045,0.2531,0.3672,0.3577,0.366,0.3628,0.3245,0.3151,0.3959,0.398,0.4326,0.3583,0.3485,0.3169,0.2735,0.3149,0.3781,0.3714,0.1808,0.213,0.3089,0.3456,0.3858,0.3537,0.3297,0.4828,0.3487,0.4194,0.3318,0.3611,0.4005,0.3283,0.4225,0.343,0.3337,0.2941,0.288,0.2709,0.2971,0.2614,0.4225,0.2994,0.4538,0.2648,0.3285,0.3386,0.3323,0.358,0.2963,0.4449
36,0.0669,0.245,0.1988,0.3003,0.3093,0.2611,0.5398,0.6694,0.5678,0.241,0.3862,0.3575,0.194,0.4131,0.28,0.5563,0.5306,0.5323,0.2394,0.3381,0.3135,0.2732,0.2545,0.4489,0.2667,0.285,0.3078,0.1737,0.2989,0.1995,0.1817,0.2298,0.1362,0.1978,0.0801,0.1788,0.0449,0.1089,0.2795,0.2745,0.3508,0.2699,0.1595,0.2499,0.1005,0.2151,0.2744,0.2036,0.2651,0.246,0.3616,0.2556,0.3449,0.4231,0.5372,0.5212,0.5423,0.5415,0.4899,0.4713,0.5826,0.5786,0.6371,0.5394,0.4934,0.481,0.4288,0.497,0.5813,0.572,0.3013,0.3389,0.4657,0.5354,0.5629,0.5406,0.4963,0.648,0.5352,0.6147,0.4951,0.5355,0.5929,0.4805,0.6286,0.5129,0.4982,0.4554,0.4252,0.4028,0.4592,0.4094,0.6345,0.4519,0.6523,0.3971,0.4912,0.512,0.5027,0.5449,0.4513,0.657
